Time,Is_alive,Min_time,Max_time,Avg_time,Std_dev,pct_loss
2024-11-11 00:15:48.011317,True,23.629,62.349,44.975,15.684,0.0
2024-11-11 00:21:00.274198,True,16.141,78.663,42.494,23.939,0.0
2024-11-11 00:26:12.618730,True,46.572,64.065,56.967,7.296,0.0
2024-11-11 00:31:25.342547,True,94.003,155.835,117.937,21.383,0.0
2024-11-11 00:36:37.690788,True,31.365,77.971,57.023,15.581,0.0
2024-11-11 00:41:50.222989,True,61.907,126.699,84.098,22.469,0.0
2024-11-11 00:47:02.387798,True,9.991,31.169,22.505,8.442,0.0
2024-11-11 00:52:14.712181,True,33.55,78.634,56.541,18.118,0.0
2024-11-11 00:57:26.869405,True,15.338,31.333,23.496,7.112,0.0
2024-11-11 01:02:39.036126,True,15.776,31.96,26.757,6.084,0.0
2024-11-11 01:07:51.194183,True,15.448,32.212,23.572,6.97,0.0
2024-11-11 01:13:03.346516,True,5.675,31.621,22.991,10.407,0.0
